"","logFC","logCPM","F","PValue"
"ARHGAP33",0.165525217993274,3.79826081385199,2.39071273194436,0.633911846312733
"NDUFAB1",-0.131259397217404,4.75090556796278,2.2230737876866,0.586620096732018
"PDK4",-0.716152401280874,3.02973922961425,35.6358578649652,0.142952948334264
"ZMYND10",-0.0700009260659351,1.69070860544281,0.0789363410092873,0.945257249058322
"ARX",0.397753990038492,1.50492347202844,1.75620421435733,0.739687321495279
"SLC25A13",0.44393173441663,4.48324971347343,24.3110450028541,0.0970832860775512
"ST7",0.354110394686202,4.29364781608052,23.3944379441699,0.217356477754934
"CDC27",-0.0387604716465974,7.39125489096358,0.49635796224714,0.679376461055166
"HCCS",0.00972641176841328,4.31909877991609,0.0111227350255506,0.972650045313375
"DVL2",-0.0911258587148992,6.04586243832525,1.58926780046425,0.54563967569442
"PRSS22",0.595546657018768,4.57633177246813,31.4654319528598,0.021669770466268
"UPF1",0.344159848316459,6.94633573374812,25.7435392426624,0.00172009766449135
"SKAP2",-1.10229790062146,5.93454815700062,298.681507873065,1.0196081517251e-10
"SLC25A5",-0.517650949843457,7.50333741455305,139.230432100801,1.41111857807204e-08
"CCDC109B",0.20609402794769,3.62601854864081,3.06639889603831,0.580235988960286
"HOXA11",-0.421832950012709,2.6581702792909,9.05136466409855,0.463075576095965
"POLR2J",-0.211005225803151,4.15074303826557,3.95998444004851,0.486690755431532
"DHX33",0.294024705755025,5.77026446499584,23.5961713055174,0.0774126975803465
"THSD7A",-1.15355893171518,1.40974268065439,11.1982610213204,0.395928404183973
"LIG3",-0.0584839492097921,5.90967148971703,0.947006497065264,0.711747165486252
"RPAP3",-0.131402026822469,5.02378697024121,2.27993870004041,0.54711381443893
"ACSM3",0.229370410362309,3.2497749217827,3.98505680379944,0.598940182294258
"CIAPIN1",-0.129227539841251,4.99997179334331,4.21182347754756,0.557215197012702
"SPPL2B",0.672555699634284,5.33336333481145,36.6754542922619,0.000628268773522444
"FAM214B",-0.654738391302521,4.47015102436495,48.9777479296693,0.0161318274135708
"PRKAR2B",-1.22588363980405,4.59642944809118,268.501585151439,4.8836110039506e-06
"MSL3",0.356771581938507,4.17395376507456,17.4287899535893,0.235240245548044
"CREBBP",0.266637624631532,7.60807461747833,38.2601327174436,0.00216693741343061
"GCFC2",0.119902069767882,4.08621196808648,1.47015787355502,0.699161161620749
"WDR54",-0.706138026131493,4.37552919929545,31.513033689964,0.0125009211544703
"KMT2E",0.21911127762253,7.23977038754797,20.9972477096226,0.0266944851463434
"RHBDD2",0.820341657987279,6.31778532468058,108.158650293389,6.7946417268838e-08
"SOX8",-0.464937780061419,3.46514585400111,16.6867683416459,0.246818300090633
"IBTK",0.116223035570412,6.40953648975475,4.87455977428467,0.380070404784302
"ZNF195",-0.181750232224456,5.57626181986124,5.46938300641235,0.30898111349865
"MYCBP2",0.406498671992588,7.57575154235164,76.830543057567,3.98519135798271e-06
"FBXL3",-0.106093638362006,5.37906087620406,3.23013645928439,0.579875422739846
"PDK2",-0.135376014619762,5.50832639360962,4.34634130913498,0.459343010654956
"ITGA3",-0.262904191658159,9.30269890398253,20.8379802687676,0.000461307122419206
"ZFX",0.449126777203448,5.85083274023581,49.9009166617521,0.0056238964962998
"LAMP2",0.367954706800442,6.73895421155159,40.6121274181477,0.0018438279673307
"ITGA2B",0.434727217988497,2.93870430988959,13.8867902009824,0.386385282106139
"GDE1",0.112619324762313,6.4498025581716,3.4245266483904,0.388284123107989
"C19orf60",0.354239506044303,4.75217287031606,9.85728272069744,0.142438735410195
"CRLF1",-0.687763965087028,5.70203509314421,53.9471679261588,7.28865428501155e-05
"OSBPL7",0.802699064628561,5.05057902232247,88.4246404540687,0.000250005104470057
"TMEM98",-0.105356418934449,4.70999940911149,1.81024258182647,0.667206147125062
"YBX2",-0.443919977409275,1.56666803068493,2.90355991210142,0.696367239079634
"MAP3K14",0.456338128029591,4.36298648697259,31.0971220690194,0.103293265871392
"TMEM132A",0.0804701479194626,7.35746487141617,0.944437462691146,0.396194821995895
"AP2B1",0.0590255670295865,9.36493366584983,2.10436152922775,0.20916989234678
"ZNF263",0.317664276762214,5.19058080474206,15.7971643791502,0.121952871983159
"SPATA20",-0.226862990412258,6.52185542437187,13.7434878231258,0.0754176981953168
"CACNA1G",-0.409438614274568,3.07414361340696,14.4142445778421,0.387560417140533
